giocatore;primi_set_persi;rimonte_riuscite;pct_rimonta
Rod Laver;150;70;46.7
Jimmy Connors;279;119;42.7
Pete Sampras;182;76;41.8
Novak Djokovic;187;77;41.2
Lleyton Hewitt;214;86;40.2
Alex Metreveli;90;36;40.0
Ivan Lendl;190;75;39.5
Rafael Nadal;193;76;39.4
John McEnroe;183;72;39.3
Roger Federer;228;89;39.0
Andy Murray;193;74;38.3
Boris Becker;177;66;37.3
Bjorn Borg;132;49;37.1
Arthur Ashe;231;84;36.4
Kei Nishikori;183;65;35.5
Jose Luis Clerc;126;44;34.9
Stan Smith;298;104;34.9
Ilie Nastase;269;93;34.6
Bud Schultz;51;17;33.3
Yevgeny Kafelnikov;271;90;33.2
Stefan Edberg;202;67;33.2
Brian Gottfried;328;109;33.2
Paolo Bertolucci;139;46;33.1
Jo Wilfried Tsonga;191;63;33.0
Vitas Gerulaitis;206;68;33.0
Daniil Medvedev;79;26;32.9
Andres Gomez;256;84;32.8
Nicolas Jarry;40;13;32.5
Ken Rosewall;166;54;32.5
Andy Roddick;169;55;32.5
Guillermo Coria;93;30;32.3
Guillermo Perez Roldan;134;43;32.1
Michael Chang;282;89;31.6
Andre Agassi;222;70;31.5
Thomas Muster;255;80;31.4
Yannick Noah;160;50;31.3
Juan Martin Del Potro;148;46;31.1
Michael Stich;129;40;31.0
Jay Berger;65;20;30.8
Brad Gilbert;265;81;30.6
Nick Kyrgios;49;15;30.6
Stefanos Tsitsipas;72;22;30.6
John Isner;229;70;30.6
John Newcombe;177;54;30.5
Wayne Odesnik;46;14;30.4
Gustavo Kuerten;173;52;30.1
Joakim Nystrom;121;36;29.8
Roberto Bautista Agut;158;47;29.7
Alexander Zverev;101;30;29.7
Stan Wawrinka;251;74;29.5
Eddie Dibbs;264;78;29.5
Andres Gimeno;112;33;29.5
Petr Korda;212;62;29.2
Dominic Thiem;144;42;29.2
David Nalbandian;148;43;29.1
Patrick Rafter;165;48;29.1
Tom Okker;223;65;29.1
Fernando Gonzalez;155;45;29.0
Alejandro Ganzabal;66;19;28.8
Grigor Dimitrov;189;54;28.6
Alex Corretja;246;70;28.5
Greg Rusedski;229;65;28.4
Guillermo Vilas;201;57;28.4
Juan Carlos Ferrero;216;61;28.2
Pat Cash;103;29;28.2
Jose Higueras;210;59;28.1
Mats Wilander;182;51;28.0
David Ferrer;344;96;27.9
Roscoe Tanner;251;70;27.9
Yoshihito Nishioka;47;13;27.7
Roy Emerson;137;38;27.7
Mardy Fish;188;52;27.7
James Blake;207;57;27.5
Tom Gorman;266;73;27.4
Francois Jauffret;95;26;27.4
Carlos Moya;271;74;27.3
Tim Henman;220;60;27.3
Wayne Ferreira;278;76;27.3
Tommy Haas;271;74;27.3
Magnus Gustafsson;224;61;27.2
Marcelo Rios;147;40;27.2
Manuel Orantes;199;54;27.1
Harold Solomon;319;86;27.0
Wally Masur;223;60;26.9
Tommy Robredo;317;85;26.8
Jimmy Arias;194;52;26.8
Mario Martinez;71;19;26.8
Corrado Barazzutti;198;53;26.8
Todd Martin;172;46;26.7
Eric Jelen;120;32;26.7
Magnus Larsson;185;49;26.5
Johan Kriek;200;53;26.5
Richard Gasquet;268;71;26.5
Simone Colombo;53;14;26.4
Aaron Krickstein;220;58;26.4
Gaston Gaudio;163;43;26.4
Peter Mcnamara;106;28;26.4
David Goffin;171;45;26.3
Jaime Fillol;331;87;26.3
Borna Coric;114;30;26.3
