giocatore;punti_mentali_vinti;punti_mentali_persi;solidita_mentale
Martin Mulligan;95;40;2.375
Novak Djokovic;873;372;2.347
Bjorn Borg;540;237;2.278
Rod Laver;568;264;2.152
Kei Nishikori;478;233;2.052
Earl Butch Buchholz;95;47;2.021
Pete Sampras;930;465;2.000
John McEnroe;732;367;1.995
Andy Murray;687;345;1.991
Thomas Muster;647;334;1.937
Rafael Nadal;811;420;1.931
Jimmy Connors;994;523;1.901
Alex Metreveli;250;135;1.852
Roger Federer;1223;673;1.817
Johan Kriek;454;255;1.780
Richard Pancho Gonzales;157;89;1.764
John Newcombe;536;308;1.740
Boris Becker;743;430;1.728
Ivan Lendl;871;507;1.718
Jose Luis Clerc;316;186;1.699
Jose Higueras;383;227;1.687
Juan Martin Del Potro;427;255;1.675
Ilie Nastase;796;481;1.655
Andy Roddick;677;411;1.647
John Cooper;95;58;1.638
Arthur Ashe;716;438;1.635
Egor Gerasimov;65;40;1.625
Andres Gomez;604;372;1.624
Mats Wilander;496;306;1.621
Johan Carlsson;81;50;1.620
Yevgeny Kafelnikov;714;445;1.604
Guillermo Vilas;696;436;1.596
Eddie Dibbs;490;307;1.596
Harold Solomon;567;357;1.588
Joakim Nystrom;259;164;1.579
Paolo Bertolucci;244;155;1.574
Stan Smith;742;473;1.569
Yannick Noah;551;353;1.561
Andre Agassi;731;469;1.559
Alexander Bublik;70;45;1.556
Guillermo Perez Roldan;256;166;1.542
Martin Jaite;302;197;1.533
Stefan Edberg;744;488;1.525
Tom Okker;550;364;1.511
Jo Wilfried Tsonga;562;373;1.507
Libor Pimek;119;79;1.506
Alexander Zverev;316;211;1.498
Christian Garin;94;63;1.492
Lleyton Hewitt;678;456;1.487
Lucas Pouille;199;134;1.485
Nicolas Escude;225;152;1.480
Tommy Robredo;607;411;1.477
Laslo Djere;84;57;1.474
Nick Kyrgios;231;157;1.471
Dan Goldie;188;128;1.469
Aaron Krickstein;454;312;1.455
Guillermo Coria;216;149;1.450
Jan Kroslak;105;73;1.438
Ken Rosewall;420;292;1.438
Milos Raonic;449;313;1.435
Patrick Rafter;417;293;1.423
David Ferrer;682;480;1.421
Michael Chang;670;472;1.419
Wayne Ferreira;633;446;1.419
Mal Anderson;85;60;1.417
Mansour Bahrami;66;47;1.404
Mauricio Hadad;87;62;1.403
David Goffin;314;224;1.402
Marcelo Rios;388;277;1.401
Dominic Thiem;347;249;1.394
Jay Berger;124;89;1.393
Tommy Haas;653;471;1.386
Clark Graebner;249;180;1.383
Carlos Moya;703;509;1.381
Raul Ramirez;475;344;1.381
Juan Carlos Ferrero;566;412;1.374
Goran Ivanisevic;722;527;1.370
Victor Estrella;111;81;1.370
Fabio Fognini;489;358;1.366
Michael Stich;431;316;1.364
Nicolas Kiefer;396;291;1.361
Magnus Larsson;427;314;1.360
John Isner;854;630;1.356
Fernando Gonzalez;433;322;1.345
David Nalbandian;388;289;1.343
Bernard Boileau;59;44;1.341
Frederico Gil;83;62;1.339
Gustavo Kuerten;439;328;1.338
Mario Martinez;99;74;1.338
Sandy Mayer;371;278;1.335
Florin Segarceanu;64;48;1.333
Alex Corretja;499;375;1.331
Bob Hewitt;212;160;1.325
Mark Philippoussis;447;338;1.322
Marin Cilic;613;464;1.321
Manuel Santana;63;48;1.313
Tom Gorman;464;355;1.307
Cliff Richey;401;307;1.306
Vitas Gerulaitis;533;408;1.306
Brad Gilbert;534;409;1.306
