giocatore;edizioni_confrontate;quota_media_in_scadenza;quota_media_riconquistata;tasso_conservazione
Daniil Medvedev;40;14.1;21.4;151.1
Juan Martin Del Potro;78;21.5;27.2;126.7
Dominic Thiem;89;19.5;23.1;118.8
Alexander Zverev;68;23.3;27.6;118.5
Milos Raonic;102;19.2;21.3;110.9
Diego Sebastian Schwartzman;67;13.9;14.9;107.1
Novak Djokovic;178;49.5;52.1;105.3
Robin Soderling;84;15.5;16.0;103.5
Roger Federer;235;49.6;51.1;103.0
Rafael Nadal;181;51.4;52.6;102.4
Jiri Vesely;51;9.0;9.2;101.6
Roberto Bautista Agut;107;16.5;16.5;100.2
Andy Murray;143;34.8;34.6;99.6
Ernests Gulbis;94;8.8;8.7;99.1
Kei Nishikori;100;22.7;22.1;97.5
Wayne Arthurs;53;7.2;6.9;96.5
Kevin Anderson;123;12.7;12.3;96.2
Stan Wawrinka;178;18.1;17.3;95.3
Tommy Haas;121;18.8;17.7;94.1
Janko Tipsarevic;89;9.9;9.3;93.6
Dusan Lajovic;57;8.0;7.4;92.4
Marin Cilic;172;19.1;17.3;90.8
Jiri Novak;89;15.4;13.7;89.3
Nicolas Almagro;158;18.7;16.6;88.9
Carlos Moya;132;23.0;20.3;88.1
John Isner;168;19.8;17.5;88.1
Gael Monfils;123;16.0;14.0;87.8
David Goffin;86;14.2;12.3;86.7
Andre Agassi;52;39.9;34.6;86.6
Jo Wilfried Tsonga;122;23.2;20.1;86.6
Andy Roddick;145;35.0;30.3;86.6
Tomas Berdych;206;19.0;16.4;86.3
Juan Carlos Ferrero;127;23.3;20.1;86.1
Philipp Kohlschreiber;225;14.3;12.3;85.6
David Ferrer;241;25.0;21.3;85.0
Jack Sock;78;16.3;13.8;84.8
Tommy Robredo;186;14.6;12.3;84.5
Younes El Aynaoui;56;15.9;13.4;84.4
Taylor Dent;47;12.4;10.4;83.9
Fernando Verdasco;239;11.2;9.4;83.3
Yevgeny Kafelnikov;62;22.0;18.4;83.3
Julien Benneteau;133;8.8;7.3;83.1
Mario Ancic;47;17.3;14.2;82.0
Grigor Dimitrov;124;15.7;12.9;81.9
Mariano Zabaleta;57;13.4;10.9;81.2
Sam Querrey;164;13.6;11.0;81.1
Ivan Ljubicic;158;16.2;13.0;80.4
Lleyton Hewitt;127;27.9;22.4;80.1
Felix Mantilla;44;11.6;9.2;79.6
Filippo Volandri;91;12.3;9.8;79.5
Pablo Cuevas;88;15.0;11.8;78.8
Igor Andreev;81;11.2;8.8;78.5
Tim Henman;103;17.3;13.5;78.1
Pablo Carreno Busta;71;16.1;12.5;77.7
Fernando Gonzalez;111;18.0;13.9;77.2
Borna Coric;60;12.3;9.4;76.3
Radek Stepanek;146;12.2;9.3;76.3
Sebastien Grosjean;99;15.2;11.5;75.9
Robby Ginepri;87;9.8;7.4;75.5
Karen Khachanov;47;14.4;10.7;74.6
Alexandr Dolgopolov;98;10.8;8.0;74.6
Sjeng Schalken;66;16.0;11.9;74.4
Marat Safin;108;18.0;13.3;74.2
David Nalbandian;96;20.7;15.3;74.1
Feliciano Lopez;249;11.1;8.2;73.8
Fabio Fognini;165;13.0;9.5;73.0
Adrian Mannarino;102;9.5;6.9;72.9
Albert Costa;60;13.8;10.0;72.9
Aljaz Bedene;48;10.1;7.3;72.9
Gilles Simon;202;14.8;10.8;72.9
Max Mirnyi;113;9.0;6.5;72.2
Nicolas Mahut;92;11.6;8.3;71.9
Potito Starace;77;10.4;7.5;71.7
Mikhail Youzhny;232;13.5;9.7;71.6
Mardy Fish;99;16.9;12.0;71.0
Richard Gasquet;171;18.6;13.1;70.6
Guillermo Coria;45;26.0;18.4;70.6
Pablo Andujar;64;12.9;9.1;70.4
Florian Mayer;106;11.0;7.8;70.4
Juan Ignacio Chela;145;12.5;8.8;70.2
Jose Acasuso;73;14.9;10.5;70.2
Gilles Muller;71;15.5;10.8;70.2
James Blake;134;17.3;12.2;70.2
Dmitry Tursunov;81;10.7;7.5;70.0
Nikolay Davydenko;182;20.5;14.3;69.9
Guillermo Canas;46;18.2;12.7;69.8
Bernard Tomic;71;11.0;7.7;69.7
Ivo Karlovic;150;13.7;9.5;69.0
Jeremy Chardy;133;8.0;5.5;68.4
Jonas Bjorkman;83;9.7;6.6;68.3
Gaston Gaudio;104;18.1;12.2;67.3
Alberto Martin;85;10.2;6.9;67.3
Jurgen Melzer;144;14.0;9.4;67.2
Yen Hsun Lu;86;5.7;3.8;67.0
Hyung Taik Lee;47;8.8;5.8;65.9
Rainer Schuettler;125;11.3;7.5;65.9
Marcos Baghdatis;119;11.5;7.6;65.7
Guillermo Garcia Lopez;136;10.5;6.9;65.6
Carlos Berlocq;50;9.8;6.4;65.4
Xavier Malisse;113;12.2;8.0;65.4
