giocatore;rivincite_tentate;rivincite_riuscite;pct_dopo_sconfitta;pct_attesa_rivincite;effetto_rivincita;conferme_tentate;conferme_riuscite;pct_dopo_vittoria;pct_attesa_conferme;effetto_conferma
Fernando Luna;69;19;27.54;35.60;-8.06;42;29;69.05;52.87;16.18
Kelly Evernden;50;14;28.00;37.61;-9.61;40;27;67.50;52.68;14.82
Michael Llodra;106;35;33.02;35.54;-2.52;75;45;60.00;46.29;13.71
Henrik Sundstrom;42;13;30.95;41.38;-10.42;56;40;71.43;58.24;13.18
Dan Goldie;49;14;28.57;37.62;-9.05;41;28;68.29;56.63;11.66
Jan Lennard Struff;83;39;46.99;32.81;14.18;48;29;60.42;48.88;11.53
Christian Bergstrom;81;29;35.80;38.28;-2.47;64;39;60.94;50.06;10.88
Tim Wilkison;173;61;35.26;37.44;-2.18;118;75;63.56;52.91;10.64
Brad Drewett;104;31;29.81;34.06;-4.25;59;33;55.93;45.54;10.39
Jan Siemerink;150;56;37.33;41.89;-4.55;138;79;57.25;47.29;9.96
Steve Johnson;92;28;30.43;38.24;-7.81;70;43;61.43;51.95;9.48
Jack Sock;62;26;41.94;40.14;1.79;70;47;67.14;58.37;8.77
Dominic Thiem;102;58;56.86;51.00;5.86;158;115;72.78;64.12;8.67
Ray Ruffels;110;35;31.82;31.18;0.64;92;56;60.87;52.33;8.54
Jurgen Fassbender;66;31;46.97;39.86;7.11;58;37;63.79;55.33;8.46
Arnaud Boetsch;113;52;46.02;44.78;1.24;108;68;62.96;54.66;8.31
Jose Acasuso;89;34;38.20;42.04;-3.84;86;52;60.47;52.36;8.11
Tomas Carbonell;118;44;37.29;36.31;0.98;70;39;55.71;47.75;7.96
Corrado Barazzutti;118;50;42.37;42.52;-0.14;121;85;70.25;62.33;7.92
Daniil Medvedev;53;30;56.60;48.98;7.63;61;42;68.85;61.17;7.69
Pavel Slozil;70;21;30.00;35.51;-5.51;47;25;53.19;45.81;7.38
Amos Mansdorf;117;48;41.03;39.69;1.33;124;79;63.71;56.38;7.33
Lucas Pouille;47;22;46.81;41.09;5.72;56;35;62.50;55.35;7.15
Juan Aguilera;54;23;42.59;36.77;5.82;51;29;56.86;49.77;7.09
Gianluca Pozzi;128;34;26.56;33.41;-6.84;59;30;50.85;43.80;7.05
Borna Coric;76;36;47.37;41.80;5.57;58;35;60.34;53.32;7.02
Marcos Baghdatis;163;69;42.33;42.08;0.25;172;107;62.21;55.22;6.99
Luiz Mattar;74;26;35.14;39.98;-4.84;62;36;58.06;51.36;6.70
