giocatore;rivincite_tentate;rivincite_riuscite;pct_dopo_sconfitta;pct_attesa_rivincite;effetto_rivincita;conferme_tentate;conferme_riuscite;pct_dopo_vittoria;pct_attesa_conferme;effetto_conferma
Stefanos Tsitsipas;44;26;59.09;42.78;16.31;50;31;62.00;59.02;2.98
Mariano Zabaleta;102;55;53.92;39.68;14.24;91;44;48.35;47.26;1.09
Jan Lennard Struff;83;39;46.99;32.81;14.18;48;29;60.42;48.88;11.53
Martin Klizan;66;33;50.00;37.02;12.98;47;21;44.68;51.32;-6.63
Chris Woodruff;44;23;52.27;40.02;12.25;40;18;45.00;48.36;-3.36
Nick Kyrgios;43;22;51.16;39.23;11.93;61;38;62.30;61.08;1.22
Kyle Edmund;48;24;50.00;38.61;11.39;41;20;48.78;51.87;-3.09
Javier Frana;65;33;50.77;40.70;10.07;52;29;55.77;56.37;-0.60
Patrick McEnroe;76;36;47.37;37.61;9.76;50;23;46.00;52.23;-6.23
Peter Mcnamara;66;36;54.55;44.81;9.73;68;48;70.59;68.21;2.38
Alexander Zverev;80;48;60.00;50.28;9.72;125;91;72.80;66.22;6.58
Mark Edmondson;108;52;48.15;38.85;9.30;102;48;47.06;54.39;-7.33
Jerome Golmard;62;31;50.00;40.78;9.22;46;22;47.83;51.79;-3.96
Nick Saviano;97;39;40.21;31.09;9.12;67;26;38.81;47.19;-8.38
Horacio De La Pena;73;36;49.32;40.39;8.92;75;41;54.67;50.14;4.53
Mariano Puerta;45;24;53.33;44.50;8.84;48;26;54.17;49.74;4.43
Carl Uwe Steeb;97;45;46.39;37.72;8.67;91;41;45.05;49.94;-4.89
Bjorn Borg;100;74;74.00;65.41;8.59;389;338;86.89;83.56;3.33
Richard Pancho Gonzales;54;21;38.89;30.46;8.43;65;37;56.92;54.65;2.28
Nicolas Escude;62;32;51.61;43.50;8.11;63;36;57.14;54.49;2.66
Marcelo Rios;114;74;64.91;57.06;7.85;190;130;68.42;66.74;1.68
Hicham Arazi;118;56;47.46;39.67;7.78;93;38;40.86;48.86;-8.00
Daniil Medvedev;53;30;56.60;48.98;7.63;61;42;68.85;61.17;7.69
Pete Sampras;152;110;72.37;65.08;7.29;481;382;79.42;78.23;1.19
Jurgen Fassbender;66;31;46.97;39.86;7.11;58;37;63.79;55.33;8.46
Jakob Hlasek;193;92;47.67;40.59;7.07;196;115;58.67;58.11;0.56
Boris Becker;151;109;72.19;65.37;6.82;418;323;77.27;75.12;2.15
Pablo Carreno Busta;91;42;46.15;39.43;6.72;85;52;61.18;55.25;5.92
Richard Krajicek;124;75;60.48;53.97;6.52;223;146;65.47;63.41;2.07
