giocatore;incontri;vittorie;vittorie_attese;scostamento;scostamento_per_100
Daniil Medvedev;227;148;125.2;22.8;10.06
Kent Carlsson;207;155;134.6;20.4;9.86
Nick Kyrgios;219;143;125.4;17.6;8.05
Alexander Zverev;353;236;213.3;22.7;6.44
Dominic Thiem;421;277;252.8;24.2;5.75
Jay Berger;215;139;127.4;11.6;5.41
Gene Mayer;447;305;280.9;24.1;5.38
Diego Sebastian Schwartzman;290;160;145.2;14.8;5.12
Richard Pancho Gonzales;235;149;137.5;11.5;4.90
Nicolas Kiefer;572;341;313.7;27.3;4.78
Robin Soderling;441;281;260.2;20.8;4.72
Nicolas Escude;267;154;141.8;12.2;4.57
Mario Ancic;310;190;176.7;13.3;4.29
Jerome Golmard;258;136;125.2;10.8;4.19
Juan Martin Del Potro;567;412;389.3;22.7;4.01
Pablo Carreno Busta;334;179;165.6;13.4;4.01
Guillermo Coria;304;205;193.0;12.0;3.95
Andy Roddick;751;567;537.3;29.7;3.95
Karen Khachanov;226;124;115.1;8.9;3.93
Bjorn Borg;741;612;583.1;28.9;3.89
Guillermo Perez Roldan;353;233;219.6;13.4;3.81
Mardy Fish;482;283;264.7;18.3;3.80
Milos Raonic;502;345;325.9;19.1;3.80
Kei Nishikori;550;377;356.3;20.7;3.76
Roberto Bautista Agut;452;285;268.1;16.9;3.75
Darren Cahill;243;128;119.1;8.9;3.67
Marcelo Rios;521;358;338.9;19.1;3.67
Mariano Puerta;225;120;111.9;8.1;3.60
Jose Luis Clerc;482;353;336.3;16.7;3.46
Richard Krajicek;595;401;380.4;20.6;3.46
Kyle Edmund;214;108;100.7;7.3;3.41
Miloslav Mecir;340;233;221.4;11.6;3.41
Borna Coric;267;143;134.0;9.0;3.38
Patrick Rafter;505;330;313.2;16.8;3.33
Sandy Mayer;556;365;346.6;18.4;3.31
Peter Mcnamara;311;188;177.9;10.1;3.24
Michael Llodra;372;177;165.1;11.9;3.21
Pascal Portes;206;98;91.5;6.5;3.16
Haroon Rahim;308;141;131.8;9.2;2.99
Buster C Mottram;438;273;260.1;12.9;2.95
Jiri Vesely;230;110;103.3;6.7;2.91
Pete Sampras;927;730;703.2;26.8;2.89
Lucas Pouille;223;120;113.6;6.4;2.87
Hendrik Dreekmann;207;94;88.2;5.8;2.82
Gael Monfils;724;471;451.1;19.9;2.75
Mikael Tillstrom;216;108;102.1;5.9;2.74
Taylor Dent;275;144;136.5;7.5;2.74
Ivan Dodig;233;110;103.7;6.3;2.71
Jo Wilfried Tsonga;631;431;414.5;16.5;2.61
John Isner;664;416;399.1;16.9;2.54
Kim Warwick;511;274;261.2;12.8;2.50
Vincent Van Patten;226;109;103.4;5.6;2.49
Joakim Nystrom;390;256;246.6;9.4;2.40
Younes El Aynaoui;436;234;223.6;10.4;2.37
Novak Djokovic;1043;871;846.3;24.7;2.37
Tommy Haas;824;524;504.6;19.4;2.35
Aljaz Bedene;231;106;100.7;5.3;2.31
Greg Rusedski;681;412;396.3;15.7;2.30
Eliot Teltscher;588;385;371.6;13.4;2.27
Rafael Nadal;1138;947;921.3;25.7;2.25
Yannick Noah;636;450;435.9;14.1;2.22
Amos Mansdorf;491;282;271.3;10.7;2.18
Fritz Buehning;233;113;108.0;5.0;2.15
Jose Higueras;628;418;404.8;13.2;2.10
Jan Michael Gambill;371;194;186.3;7.7;2.09
Stefan Edberg;989;745;724.6;20.4;2.07
Alexandr Dolgopolov;392;206;197.9;8.1;2.07
Sandon Stolle;215;98;93.6;4.4;2.04
Richard Gasquet;823;520;503.5;16.5;2.01
Chris Woodruff;209;106;101.8;4.2;2.01
Peter Feigl;212;108;103.8;4.2;1.99
David Nalbandian;527;349;338.8;10.2;1.94
Radek Stepanek;622;351;339.0;12.0;1.93
Richey Reneberg;554;299;288.4;10.6;1.91
Heinz Gunthardt;412;223;215.1;7.9;1.91
Xavier Malisse;518;272;262.2;9.8;1.90
Mariano Zabaleta;396;198;190.5;7.5;1.89
Horacio De La Pena;347;182;175.6;6.4;1.85
Butch Walts;277;142;136.9;5.1;1.85
Sjeng Schalken;519;274;264.5;9.5;1.84
Andy Murray;823;628;612.8;15.2;1.84
Malivai Washington;423;245;237.3;7.7;1.82
Tim Mayotte;528;335;325.5;9.5;1.81
Juan Aguilera;265;135;130.2;4.8;1.81
Kevin Anderson;541;317;307.2;9.8;1.81
Ivan Ljubicic;673;399;387.0;12.0;1.79
Jack Sock;278;154;149.1;4.9;1.78
John McEnroe;1012;826;808.0;18.0;1.78
Goran Prpic;216;111;107.2;3.8;1.77
Todd Martin;608;390;379.2;10.8;1.77
Grigor Dimitrov;508;301;292.0;9.0;1.76
Jimmy Connors;1512;1247;1220.4;26.6;1.76
Juan Monaco;553;308;298.4;9.6;1.74
Henri Leconte;572;342;332.1;9.9;1.72
Mark Dickson;243;125;120.8;4.2;1.71
Michael Stich;505;348;339.4;8.6;1.71
Mikael Pernfors;243;135;130.9;4.1;1.67
Eddie Dibbs;849;593;578.8;14.2;1.67
Magnus Larsson;497;291;282.7;8.3;1.66
Magnus Norman;382;225;218.7;6.3;1.64
