giocatore;incontri;vittorie;vittorie_attese;scostamento;scostamento_per_100
Bill Bowrey;203;96;113.0;-17.0;-8.39
Dennis Ralston;267;144;160.3;-16.3;-6.12
Pierre Barthes;345;167;183.7;-16.7;-4.84
John Feaver;236;67;78.2;-11.2;-4.73
Fred Stolle;336;171;186.3;-15.3;-4.56
Syd Ball;281;104;115.9;-11.9;-4.22
Jim Mcmanus;317;104;116.7;-12.7;-4.02
Andres Gimeno;362;235;247.4;-12.4;-3.43
Charlie Pasarell;550;281;299.6;-18.6;-3.38
Clark Graebner;441;294;308.5;-14.5;-3.30
Marko Ostoja;208;73;79.8;-6.8;-3.25
Patricio Cornejo;320;126;136.4;-10.4;-3.24
Dominik Hrbaty;609;312;330.1;-18.1;-2.97
Ken Rosewall;728;535;556.1;-21.1;-2.90
Fernando Vicente;362;149;158.8;-9.8;-2.70
Hyung Taik Lee;269;116;122.7;-6.7;-2.50
Hans Kary;353;142;150.6;-8.6;-2.44
Roger Taylor;628;349;364.0;-15.0;-2.40
Slobodan Zivojinovic;255;130;136.0;-6.0;-2.37
Rod Laver;708;565;581.4;-16.4;-2.32
Anand Amritraj;266;93;99.0;-6.0;-2.25
Fred Mcnair;233;74;79.2;-5.2;-2.23
George Hardie;219;74;78.8;-4.8;-2.19
Florent Serra;283;115;121.1;-6.1;-2.16
Teymuraz Gabashvili;296;105;111.3;-6.3;-2.13
Graham Stilwell;260;84;89.5;-5.5;-2.13
Jairo Velasco;282;116;122.0;-6.0;-2.12
Donald Young;300;114;120.1;-6.1;-2.05
Francisco Gonzalez;261;103;108.3;-5.3;-2.02
Lars Burgsmuller;231;85;89.7;-4.7;-2.02
Sashi Menon;261;88;93.2;-5.2;-2.01
Steve Krulevitz;320;120;126.4;-6.4;-1.99
Daniel Gimeno Traver;253;87;91.9;-4.9;-1.95
Nikola Pilic;519;288;297.8;-9.8;-1.89
Christophe Rochus;308;109;114.7;-5.7;-1.85
Andrei Olhovskiy;274;114;118.8;-4.8;-1.76
Hans Gildemeister;315;182;187.5;-5.5;-1.75
John Yuill;226;91;94.9;-3.9;-1.74
Damir Keretic;204;85;88.5;-3.5;-1.72
Paolo Lorenzi;278;102;106.7;-4.7;-1.69
Alejandro Falla;245;91;95.0;-4.0;-1.65
Christophe Roger Vasselin;215;88;91.4;-3.4;-1.58
Onny Parun;675;350;360.5;-10.5;-1.56
Gianluca Pozzi;421;167;173.5;-6.5;-1.55
Mark Edmondson;472;242;249.3;-7.3;-1.55
Igor Kunitsyn;232;83;86.5;-3.5;-1.53
Paul Kronk;295;112;116.5;-4.5;-1.53
Andrei Cherkasov;373;173;178.5;-5.5;-1.48
Adrian Voinea;281;120;124.1;-4.1;-1.47
Libor Pimek;239;122;125.5;-3.5;-1.45
John Newcombe;752;545;555.9;-10.9;-1.44
Russell Simpson;326;131;135.6;-4.6;-1.41
Benjamin Becker;358;145;150.0;-5.0;-1.40
Frew Mcmillan;414;174;179.8;-5.8;-1.39
Karim Alami;313;137;141.3;-4.3;-1.38
Shlomo Glickstein;305;157;161.1;-4.1;-1.33
Nicola Spear;251;94;97.3;-3.3;-1.32
Barry Phillips Moore;420;197;202.4;-5.4;-1.29
Carlos Berlocq;298;120;123.8;-3.8;-1.29
Leonardo Mayer;347;163;167.4;-4.4;-1.28
Tom Edlefsen;228;94;96.9;-2.9;-1.26
Gaston Gaudio;427;242;247.4;-5.4;-1.26
Colin Dowdeswell;288;115;118.5;-3.5;-1.23
Santiago Giraldo;317;135;138.9;-3.9;-1.22
Pablo Andujar;332;132;136.0;-4.0;-1.21
Nicolas Massu;425;218;223.0;-5.0;-1.18
Nduka Odizor;201;81;83.4;-2.4;-1.18
Albert Ramos;447;205;210.2;-5.2;-1.17
Andrei Pavel;473;238;243.5;-5.5;-1.16
Richard Fromberg;520;240;245.9;-5.9;-1.14
Geoff Masters;480;227;232.4;-5.4;-1.12
John James;223;85;87.5;-2.5;-1.11
Ross Case;543;272;277.9;-5.9;-1.10
Joao Sousa;375;166;170.1;-4.1;-1.10
Raymond Moore;700;327;334.6;-7.6;-1.09
Simon Youl;225;91;93.4;-2.4;-1.08
Cliff Richey;682;464;471.3;-7.3;-1.07
Michael Berrer;220;82;84.3;-2.3;-1.07
Antonio Munoz;259;95;97.8;-2.8;-1.07
Lars Jonsson;209;82;84.2;-2.2;-1.04
Roy Emerson;426;266;270.4;-4.4;-1.04
Juan Ignacio Chela;558;293;298.8;-5.8;-1.04
Thomaz Bellucci;372;172;175.8;-3.8;-1.03
Sargis Sargsian;353;148;151.6;-3.6;-1.03
Igor Andreev;427;217;221.4;-4.4;-1.03
Omar Camporese;285;137;139.9;-2.9;-1.02
Mikhail Kukushkin;314;133;136.2;-3.2;-1.02
Arnaud Clement;600;287;293.0;-6.0;-1.00
Brad Drewett;402;178;181.9;-3.9;-0.98
Justin Gimelstob;271;104;106.7;-2.7;-0.98
Marcos Ondruska;243;105;107.3;-2.3;-0.96
Max Mirnyi;434;209;213.1;-4.1;-0.94
Stefan Simonsson;216;95;97.0;-2.0;-0.94
Thierry Champion;245;95;97.3;-2.3;-0.94
Jim Delaney;207;76;77.9;-1.9;-0.93
Jonas Bjorkman;722;381;387.6;-6.6;-0.92
Eddie Edwards;219;86;88.0;-2.0;-0.92
Georges Goven;407;185;188.7;-3.7;-0.92
Gilles Muller;396;195;198.5;-3.5;-0.89
Nicolas Lapentti;545;273;277.8;-4.8;-0.88
