giocatore;superficie;incontri;elo_medio_avversari;vittorie_grezze;vittorie_attese;specializzazione
Vincent Van Patten;P;92;1985;56.52;39.17;17.35
Mike Bauer;P;41;1902;58.54;44.01;14.52
Ferdi Taygan;P;59;1954;47.46;33.44;14.02
Thomas Hogstedt;P;68;1935;47.06;33.45;13.61
Diego Nargiso;P;48;1961;43.75;30.30;13.45
Chip Hooper;P;71;1969;52.11;38.92;13.19
Martin Sinner;P;44;1898;47.73;35.04;12.69
Ben Testerman;P;44;1921;54.55;41.93;12.62
Greg Rusedski;P;122;1982;68.85;56.49;12.36
Anders Jarryd;P;212;1972;67.45;55.33;12.13
David Prinosil;P;104;1958;51.92;39.81;12.11
Nikolay Davydenko;P;43;1942;67.44;55.36;12.08
Magnus Larsson;P;87;1993;62.07;50.86;11.21
Richard Meyer;P;41;1930;41.46;30.27;11.19
Thomas Johansson;P;97;1933;63.92;52.91;11.01
Milan Srejber;P;54;1956;53.70;42.70;11.00
Marc Rosset;P;174;1955;64.37;53.44;10.93
Nicolas Kiefer;P;60;1952;58.33;47.71;10.62
Gianni Ocleppo;P;44;1967;50.00;40.08;9.92
Tim Mayotte;P;172;2009;64.53;54.69;9.84
Thomaz Koch;P;68;1915;57.35;48.04;9.32
Jakob Hlasek;P;217;1987;60.37;51.32;9.05
Broderick Dyke;P;40;1920;47.50;38.48;9.02
Paul Annacone;P;87;1961;60.92;51.92;9.00
Boris Becker;P;287;2057;79.09;70.12;8.97
Fritz Buehning;P;90;1991;50.00;41.14;8.86
Guillaume Raoux;P;93;1931;49.46;40.87;8.59
Roger Federer;P;58;1975;72.41;64.21;8.20
Magnus Gustafsson;P;143;1978;62.24;54.08;8.16
Jan Siemerink;P;134;1967;55.22;47.34;7.88
Mikhail Youzhny;P;49;1925;63.27;55.55;7.72
Martin Damm;P;98;1910;52.04;44.35;7.69
Karol Kucera;P;80;1956;58.75;51.21;7.54
Goran Ivanisevic;P;239;2008;71.55;64.05;7.50
Billy Martin;P;101;1968;45.54;38.07;7.47
Johan Kriek;P;162;2015;61.11;53.64;7.47
Butch Walts;P;115;1952;53.91;46.49;7.42
Olivier Delaitre;P;72;1920;48.61;41.20;7.41
Eric Jelen;P;75;1940;52.00;44.73;7.27
Petr Korda;P;172;1988;64.53;57.28;7.25
John Fitzgerald;P;83;1959;53.01;45.79;7.22
Peter Mcnamara;P;55;1986;67.27;60.05;7.22
Marat Safin;P;73;1967;68.49;61.29;7.20
Peter Fleming;P;163;1976;53.99;47.10;6.88
Yevgeny Kafelnikov;P;204;1968;72.55;65.69;6.86
Pascal Portes;P;40;1962;47.50;40.67;6.83
Graham Stilwell;P;68;1996;30.88;24.11;6.78
Andrei Olhovskiy;P;86;1885;52.33;45.78;6.55
Haroon Rahim;P;97;1905;51.55;45.04;6.51
Alexander Volkov;P;159;1967;56.60;50.19;6.41
George Hardie;P;46;1885;39.13;32.86;6.27
Arnaud Boetsch;P;115;1962;58.26;52.13;6.13
Arthur Ashe;P;336;1996;77.08;71.09;5.99
Jonas Svensson;P;143;1957;59.44;53.45;5.99
Tim Henman;P;102;1968;64.71;58.92;5.79
Omar Camporese;P;69;1958;50.72;45.02;5.71
Pete Sampras;P;181;2046;78.45;72.75;5.70
Miloslav Mecir;P;73;2015;64.38;58.71;5.68
Gene Mayer;P;164;1984;68.29;62.62;5.67
Victor Amaya;P;93;1956;56.99;51.48;5.51
Dick Stockton;P;190;1993;62.63;57.26;5.37
Brian Gottfried;P;287;2001;69.69;64.63;5.05
Sebastien Grosjean;P;48;1969;56.25;51.23;5.02
Alexander Mronz;P;41;1889;43.90;38.90;5.00
Sandy Mayer;P;205;1979;65.37;60.41;4.96
Frew Mcmillan;P;105;1965;41.90;36.97;4.94
Mark Dickson;P;60;1932;51.67;46.96;4.70
Hicham Arazi;P;53;1974;49.06;44.41;4.64
Brad Gilbert;P;190;1997;62.11;57.50;4.61
Bill Scanlon;P;187;1976;54.01;49.41;4.60
Patrik Kuhnen;P;71;1910;49.30;44.72;4.57
Vitas Gerulaitis;P;258;2025;67.44;62.95;4.49
Mark Cox;P;191;1964;59.69;55.31;4.37
Thomas Enqvist;P;113;1988;60.18;55.82;4.35
John Sadri;P;138;2002;52.17;47.87;4.31
Buster C Mottram;P;113;2001;54.87;50.67;4.20
Richard Krajicek;P;123;2003;64.23;60.04;4.19
Mark Philippoussis;P;51;1986;58.82;54.64;4.18
Ivan Ljubicic;P;63;1950;63.49;59.33;4.16
Nicklas Kulti;P;62;1954;45.16;41.10;4.06
Jeff Borowiak;P;133;1997;46.62;42.58;4.03
Paul Haarhuis;P;109;1973;50.46;46.44;4.02
Tom Gullikson;P;120;1975;45.00;40.98;4.02
Kevin Curren;P;190;1991;60.00;55.99;4.01
Heinz Gunthardt;P;94;2021;45.74;41.74;4.01
Wojtek Fibak;P;249;2011;59.44;55.50;3.94
Marty Riessen;P;254;2001;59.84;55.90;3.94
Robert Lutz;P;203;1979;60.10;56.25;3.84
Jurgen Fassbender;P;46;1844;58.70;54.92;3.77
Richard Pancho Gonzales;P;53;2040;52.83;49.16;3.67
John Lloyd;P;89;1991;42.70;39.03;3.66
Tom Gorman;P;161;1949;57.76;54.13;3.63
Kenneth Carlsen;P;92;1902;50.00;46.37;3.63
Francisco Gonzalez;P;47;1961;40.43;36.81;3.62
Byron Black;P;68;1950;51.47;47.86;3.61
Brian Teacher;P;145;1981;57.24;53.64;3.60
John McEnroe;P;387;2032;83.72;80.31;3.41
Richey Reneberg;P;101;1976;50.50;47.10;3.39
Jan Kroslak;P;44;1929;47.73;44.38;3.35
Cliff Drysdale;P;200;2027;56.00;52.69;3.31
