giocatore;superficie;incontri;elo_medio_avversari;vittorie_grezze;vittorie_attese;specializzazione
Joachim Johansson;H;88;1935;65.91;45.63;20.28
Reilly Opelka;H;71;1929;56.34;38.95;17.39
Alex De Minaur;H;101;1942;65.35;49.59;15.76
Daniil Medvedev;H;171;1980;70.18;56.70;13.47
Alejandro Olmedo;H;57;1884;50.88;37.45;13.43
Yoshihito Nishioka;H;98;1941;54.08;41.60;12.48
Hendrik Dreekmann;H;90;1953;53.33;40.95;12.39
Daniel Evans;H;87;1957;55.17;43.17;12.00
Jerome Potier;H;45;1869;46.67;35.76;10.91
Jay Berger;H;119;1940;66.39;55.75;10.64
Tommy Paul;H;44;1909;47.73;37.12;10.61
John Austin;H;54;1905;50.00;39.73;10.27
Pascal Portes;H;70;1896;54.29;44.34;9.94
Alexander Bublik;H;53;1918;49.06;39.20;9.85
Jerome Golmard;H;139;1922;58.99;49.23;9.76
Greg Holmes;H;109;1913;55.05;45.32;9.73
Nicolas Escude;H;150;1951;62.67;53.14;9.52
Juan Gisbert;H;99;1866;61.62;52.39;9.23
Jan Michael Gambill;H;270;1936;57.41;48.18;9.23
Tom Cain;H;40;1881;45.00;35.89;9.11
Nicklas Kroon;H;51;1911;50.98;41.93;9.05
Johan Carlsson;H;92;1898;46.74;37.79;8.95
Stefanos Tsitsipas;H;129;2013;61.24;52.29;8.95
Filip Krajinovic;H;107;1960;51.40;42.54;8.86
Marius Copil;H;80;1945;42.50;33.66;8.84
Ugo Humbert;H;54;1919;53.70;44.96;8.75
Egor Gerasimov;H;42;1902;57.14;48.51;8.64
Eliot Teltscher;H;228;1921;70.61;62.14;8.47
Tom Leonard;H;80;1931;37.50;29.05;8.45
Nick Kyrgios;H;150;1996;67.33;59.06;8.27
Thanasi Kokkinakis;H;47;1921;42.55;34.42;8.13
Felix Auger Aliassime;H;64;1942;54.69;46.77;7.92
Andrey Rublev;H;145;1973;57.93;50.02;7.91
Karsten Braasch;H;74;1903;47.30;39.42;7.88
Evgeny Korolev;H;90;1919;51.11;43.33;7.78
Michael Joyce;H;81;1914;44.44;36.72;7.73
Doug Flach;H;41;1918;39.02;31.33;7.69
Michael Robertson;H;41;1866;39.02;31.34;7.68
Matthias Bachinger;H;46;1889;39.13;31.45;7.68
Buster C Mottram;H;63;1932;65.08;57.49;7.59
Colin Dowdeswell;H;83;1874;49.40;41.94;7.46
Takao Suzuki;H;51;1913;43.14;35.69;7.45
Pat Cramer;H;58;1853;43.10;35.74;7.37
Jan Kroslak;H;76;1903;48.68;41.33;7.35
Haroon Rahim;H;136;1918;47.79;40.56;7.24
Mikael Tillstrom;H;116;1930;55.17;47.99;7.18
Denis Shapovalov;H;125;1965;56.80;49.67;7.13
Lars Anders Wahlgren;H;44;1914;38.64;31.60;7.03
Richard Pancho Gonzales;H;96;1917;70.83;63.84;7.00
Trey Waltke;H;130;1891;48.46;41.51;6.96
Peter Lundgren;H;154;1913;52.60;45.72;6.88
Larry Stefanki;H;75;1876;44.00;37.31;6.69
Chuck Adams;H;131;1893;51.15;44.49;6.66
Robert Vant Hof;H;92;1880;51.09;44.47;6.61
Todd Witsken;H;157;1927;50.96;44.41;6.54
Mardy Fish;H;353;1954;60.34;53.90;6.44
Chris Guccione;H;68;1929;39.71;33.30;6.41
Andreas Vinciguerra;H;93;1923;50.54;44.14;6.40
Peter Gojowczyk;H;90;1948;46.67;40.29;6.38
Jonathan Canter;H;99;1888;47.47;41.16;6.32
Marcelo Rios;H;240;1951;69.17;62.87;6.29
Nicolas Kiefer;H;350;1964;62.29;56.01;6.27
Vasek Pospisil;H;187;1970;46.52;40.29;6.23
Thomas Enqvist;H;437;1957;64.99;58.92;6.06
Amos Mansdorf;H;313;1913;62.30;56.27;6.03
Patrick Rafter;H;302;1974;66.89;60.87;6.02
George Bastl;H;87;1899;41.38;35.39;5.99
Miloslav Mecir;H;99;1950;73.74;67.81;5.93
Jared Palmer;H;80;1921;46.25;40.36;5.89
Steve Bryan;H;77;1919;37.66;31.80;5.86
Michael Russell;H;140;1931;37.86;32.04;5.82
Brian Macphie;H;45;1893;40.00;34.19;5.81
Mikael Pernfors;H;120;1944;61.67;55.87;5.80
Robin Soderling;H;254;1989;64.57;58.82;5.74
Hubert Hurkacz;H;63;1934;50.79;45.07;5.73
Sandy Mayer;H;196;1935;67.86;62.14;5.72
Kelly Jones;H;95;1894;41.05;35.34;5.71
John Isner;H;480;1963;63.75;58.05;5.70
Jan Gunnarsson;H;122;1911;54.10;48.42;5.68
Rodolphe Gilbert;H;76;1916;39.47;33.80;5.67
Milos Raonic;H;341;1995;69.21;63.55;5.66
Gerald Battrick;H;125;1877;51.20;45.56;5.64
Ivo Minar;H;41;1966;36.59;31.02;5.56
Pete Sampras;H;513;1986;80.70;75.17;5.53
Kyle Edmund;H;140;1959;52.86;47.36;5.50
Alex Radulescu;H;48;1908;45.83;40.34;5.49
Mike Estep;H;103;1865;44.66;39.18;5.48
Michael Tebbutt;H;89;1917;44.94;39.46;5.48
Dick R Bohrnstedt;H;40;1875;40.00;34.54;5.46
Taylor Dent;H;202;1935;52.48;47.06;5.42
Raymond Moore;H;255;1914;51.37;45.96;5.41
