giocatore;superficie;incontri;elo_medio_avversari;vittorie_grezze;vittorie_attese;specializzazione
Florian Mayer;G;62;1988;59.68;41.23;18.45
Denis Kudla;G;43;1889;51.16;35.24;15.92
Benjamin Becker;G;64;1915;56.25;40.37;15.88
Feliciano Lopez;G;120;1960;65.83;50.07;15.76
Nicolas Mahut;G;107;1906;61.68;46.03;15.65
Mario Ancic;G;51;1942;72.55;57.00;15.55
Slobodan Zivojinovic;G;42;1958;64.29;48.93;15.36
Michael Llodra;G;63;1880;65.08;50.01;15.07
Pat Cash;G;113;1923;70.80;56.48;14.31
David Prinosil;G;60;1913;58.33;44.64;13.69
Christian Saceanu;G;42;1880;54.76;41.18;13.58
Mark Edmondson;G;161;1881;63.35;50.33;13.03
Eric Jelen;G;52;1908;63.46;50.52;12.94
Ivo Karlovic;G;114;1923;63.16;50.37;12.78
Shuzo Matsuoka;G;41;1932;56.10;43.80;12.29
Andrei Olhovskiy;G;45;1905;51.11;38.86;12.25
Mark Kratzmann;G;48;1872;50.00;37.75;12.25
Byron Bertram;G;46;1836;54.35;42.11;12.23
Peter Doohan;G;71;1859;52.11;40.02;12.10
Xavier Malisse;G;78;1931;62.82;50.76;12.06
Bryan Shelton;G;45;1906;53.33;41.32;12.02
Mark Philippoussis;G;69;1949;69.57;57.81;11.76
Michael Stich;G;73;1953;79.45;67.71;11.74
Mal Anderson;G;76;1830;68.42;56.75;11.67
Adrian Mannarino;G;80;1926;57.50;45.85;11.65
Greg Rusedski;G;114;1915;71.93;60.37;11.56
Derrick Rostagno;G;71;1894;59.15;47.71;11.44
Denis Istomin;G;65;1950;53.85;42.82;11.02
Wally Masur;G;154;1890;63.64;52.66;10.97
Sandon Stolle;G;47;1898;55.32;44.53;10.79
Ian Fletcher;G;48;1830;54.17;43.40;10.77
Mischa Zverev;G;56;1922;50.00;39.25;10.75
Boris Becker;G;138;1984;83.33;72.58;10.75
Brett Steven;G;48;1919;62.50;51.84;10.66
Dustin Brown;G;40;1959;45.00;34.49;10.51
Onny Parun;G;139;1860;58.99;48.67;10.32
Kelly Evernden;G;57;1880;56.14;46.05;10.09
Jacco Eltingh;G;44;1922;56.82;46.75;10.07
Mardy Fish;G;68;1918;64.71;54.66;10.04
Christo Van Rensburg;G;89;1891;60.67;50.69;9.98
John Cooper;G;79;1812;59.49;49.53;9.96
