giocatore;superficie;incontri;elo_medio_avversari;vittorie_grezze;vittorie_attese;specializzazione
Christian Garin;C;50;1887;70.00;44.69;25.31
Laslo Djere;C;64;1884;64.06;40.89;23.17
Matteo Berrettini;C;42;1913;66.67;45.17;21.50
Joachim Johansson;H;88;1935;65.91;45.63;20.28
Casper Ruud;C;66;1897;63.64;44.22;19.42
Florian Mayer;G;62;1988;59.68;41.23;18.45
Reilly Opelka;H;71;1929;56.34;38.95;17.39
Vincent Van Patten;P;92;1985;56.52;39.17;17.35
Nicolas Jarry;C;50;1903;58.00;41.40;16.60
Denis Kudla;G;43;1889;51.16;35.24;15.92
Benjamin Becker;G;64;1915;56.25;40.37;15.88
Alex De Minaur;H;101;1942;65.35;49.59;15.76
Feliciano Lopez;G;120;1960;65.83;50.07;15.76
Nicolas Mahut;G;107;1906;61.68;46.03;15.65
Mario Ancic;G;51;1942;72.55;57.00;15.55
Slobodan Zivojinovic;G;42;1958;64.29;48.93;15.36
Michael Llodra;G;63;1880;65.08;50.01;15.07
Mike Bauer;P;41;1902;58.54;44.01;14.52
Pat Cash;G;113;1923;70.80;56.48;14.31
Dominic Thiem;C;174;1981;74.14;59.94;14.20
Ferdi Taygan;P;59;1954;47.46;33.44;14.02
David Prinosil;G;60;1913;58.33;44.64;13.69
Juan Ignacio Londero;C;43;1850;58.14;44.45;13.69
Thomas Hogstedt;P;68;1935;47.06;33.45;13.61
Christian Saceanu;G;42;1880;54.76;41.18;13.58
Daniil Medvedev;H;171;1980;70.18;56.70;13.47
Diego Nargiso;P;48;1961;43.75;30.30;13.45
Alejandro Olmedo;H;57;1884;50.88;37.45;13.43
Chip Hooper;P;71;1969;52.11;38.92;13.19
Stefanos Tsitsipas;C;49;1993;67.35;54.28;13.06
Mark Edmondson;G;161;1881;63.35;50.33;13.03
Eric Jelen;G;52;1908;63.46;50.52;12.94
Ivo Karlovic;G;114;1923;63.16;50.37;12.78
Martin Sinner;P;44;1898;47.73;35.04;12.69
Ben Testerman;P;44;1921;54.55;41.93;12.62
Yoshihito Nishioka;H;98;1941;54.08;41.60;12.48
Hendrik Dreekmann;H;90;1953;53.33;40.95;12.39
Greg Rusedski;P;122;1982;68.85;56.49;12.36
Shuzo Matsuoka;G;41;1932;56.10;43.80;12.29
Mark Kratzmann;G;48;1872;50.00;37.75;12.25
Andrei Olhovskiy;G;45;1905;51.11;38.86;12.25
Byron Bertram;G;46;1836;54.35;42.11;12.23
Anders Jarryd;P;212;1972;67.45;55.33;12.13
David Prinosil;P;104;1958;51.92;39.81;12.11
Peter Doohan;G;71;1859;52.11;40.02;12.10
Nikolay Davydenko;P;43;1942;67.44;55.36;12.08
Xavier Malisse;G;78;1931;62.82;50.76;12.06
Bryan Shelton;G;45;1906;53.33;41.32;12.02
Rafael Nadal;C;459;2025;91.29;79.28;12.01
Daniel Evans;H;87;1957;55.17;43.17;12.00
Mark Philippoussis;G;69;1949;69.57;57.81;11.76
Michael Stich;G;73;1953;79.45;67.71;11.74
Mal Anderson;G;76;1830;68.42;56.75;11.67
Adrian Mannarino;G;80;1926;57.50;45.85;11.65
Greg Rusedski;G;114;1915;71.93;60.37;11.56
Derrick Rostagno;G;71;1894;59.15;47.71;11.44
Edison Mandarino;C;48;1794;60.42;49.11;11.30
Magnus Larsson;P;87;1993;62.07;50.86;11.21
Richard Meyer;P;41;1930;41.46;30.27;11.19
Denis Istomin;G;65;1950;53.85;42.82;11.02
Thomas Johansson;P;97;1933;63.92;52.91;11.01
Milan Srejber;P;54;1956;53.70;42.70;11.00
Wally Masur;G;154;1890;63.64;52.66;10.97
Marc Rosset;P;174;1955;64.37;53.44;10.93
Jerome Potier;H;45;1869;46.67;35.76;10.91
Marco Cecchinato;C;80;1924;43.75;32.86;10.89
Victor Estrella;C;47;1878;57.45;46.64;10.81
Sandon Stolle;G;47;1898;55.32;44.53;10.79
Kent Carlsson;C;195;1889;75.90;65.11;10.79
Ian Fletcher;G;48;1830;54.17;43.40;10.77
Boris Becker;G;138;1984;83.33;72.58;10.75
Mischa Zverev;G;56;1922;50.00;39.25;10.75
Brett Steven;G;48;1919;62.50;51.84;10.66
Jay Berger;H;119;1940;66.39;55.75;10.64
Guillermo Coria;C;171;1927;73.10;62.47;10.63
Nicolas Kiefer;P;60;1952;58.33;47.71;10.62
Tommy Paul;H;44;1909;47.73;37.12;10.61
Nicola Pietrangeli;C;54;1725;64.81;54.21;10.61
Dustin Brown;G;40;1959;45.00;34.49;10.51
Alexander Zverev;C;107;1962;70.09;59.63;10.46
Onny Parun;G;139;1860;58.99;48.67;10.32
John Austin;H;54;1905;50.00;39.73;10.27
Kelly Evernden;G;57;1880;56.14;46.05;10.09
Jean Loup Rouyer;C;75;1831;53.33;43.25;10.08
Jacco Eltingh;G;44;1922;56.82;46.75;10.07
Pablo Andujar;C;195;1903;50.77;40.73;10.04
Mardy Fish;G;68;1918;64.71;54.66;10.04
Christo Van Rensburg;G;89;1891;60.67;50.69;9.98
John Cooper;G;79;1812;59.49;49.53;9.96
Pascal Portes;H;70;1896;54.29;44.34;9.94
Olivier Mutis;C;41;1873;46.34;36.41;9.93
Gianni Ocleppo;P;44;1967;50.00;40.08;9.92
Alexander Bublik;H;53;1918;49.06;39.20;9.85
Tim Mayotte;P;172;2009;64.53;54.69;9.84
Mike Estep;G;74;1797;52.70;42.88;9.82
Potito Starace;C;220;1906;53.18;43.39;9.80
Roberto Bautista Agut;G;42;1950;71.43;61.63;9.80
Jerome Golmard;H;139;1922;58.99;49.23;9.76
Lorenzo Sonego;C;44;1909;47.73;37.98;9.75
Gastao Elias;C;46;1872;41.30;31.56;9.75
