giocatore;superficie;incontri;elo_medio_avversari;vittorie_grezze;vittorie_attese;specializzazione
Christian Garin;C;50;1887;70.00;44.69;25.31
Laslo Djere;C;64;1884;64.06;40.89;23.17
Matteo Berrettini;C;42;1913;66.67;45.17;21.50
Casper Ruud;C;66;1897;63.64;44.22;19.42
Nicolas Jarry;C;50;1903;58.00;41.40;16.60
Dominic Thiem;C;174;1981;74.14;59.94;14.20
Juan Ignacio Londero;C;43;1850;58.14;44.45;13.69
Stefanos Tsitsipas;C;49;1993;67.35;54.28;13.06
Rafael Nadal;C;459;2025;91.29;79.28;12.01
Edison Mandarino;C;48;1794;60.42;49.11;11.30
Marco Cecchinato;C;80;1924;43.75;32.86;10.89
Victor Estrella;C;47;1878;57.45;46.64;10.81
Kent Carlsson;C;195;1889;75.90;65.11;10.79
Guillermo Coria;C;171;1927;73.10;62.47;10.63
Nicola Pietrangeli;C;54;1725;64.81;54.21;10.61
Alexander Zverev;C;107;1962;70.09;59.63;10.46
Jean Loup Rouyer;C;75;1831;53.33;43.25;10.08
Pablo Andujar;C;195;1903;50.77;40.73;10.04
Olivier Mutis;C;41;1873;46.34;36.41;9.93
Potito Starace;C;220;1906;53.18;43.39;9.80
Gastao Elias;C;46;1872;41.30;31.56;9.75
Lorenzo Sonego;C;44;1909;47.73;37.98;9.75
Attila Savolt;C;48;1888;45.83;36.16;9.67
Mariano Puerta;C;173;1898;59.54;49.90;9.64
German Lopez;C;61;1877;47.54;37.93;9.62
Darren Cahill;C;52;1883;55.77;46.17;9.60
Mike Belkin;C;70;1774;67.14;57.72;9.43
Martin Verkerk;C;54;1898;51.85;42.56;9.30
Andrey Rublev;C;42;1928;59.52;50.28;9.24
Thiemo De Bakker;C;42;1925;47.62;38.44;9.17
Andrew Ilie;C;76;1890;55.26;46.13;9.13
Jose Luis Clerc;C;359;1909;78.55;69.58;8.97
David Sanchez;C;142;1888;50.00;41.05;8.95
Henrik Sundstrom;C;182;1910;65.93;57.15;8.78
Jaume Munar;C;47;1894;46.81;38.13;8.67
Andrei Chesnokov;C;220;1930;64.55;55.87;8.67
Roberto Carballes Baena;C;82;1847;51.22;42.66;8.56
Karen Khachanov;C;61;1951;57.38;48.90;8.48
Guido Pella;C;108;1909;54.63;46.20;8.43
Juan Monaco;C;333;1918;62.76;54.37;8.39
Diego Sebastian Schwartzman;C;136;1939;57.35;49.01;8.34
Gabriel Markus;C;87;1905;49.43;41.12;8.30
Federico Delbonis;C;181;1894;53.59;45.36;8.24
Bjorn Borg;C;291;1960;86.25;78.02;8.24
Marian Vajda;C;176;1888;52.27;44.11;8.16
Jose Acasuso;C;223;1890;59.64;51.50;8.14
Filippo Volandri;C;277;1884;53.43;45.46;7.97
Julian Alonso;C;75;1871;50.67;42.70;7.97
Sergi Bruguera;C;387;1922;69.51;61.63;7.88
Julien Boutter;C;58;1932;51.72;43.91;7.81
Eric Fromm;C;59;1891;45.76;37.96;7.80
Juan Carlos Ferrero;C;316;1930;72.15;64.36;7.79
Mariano Zabaleta;C;256;1905;56.64;48.90;7.75
Albert Costa;C;370;1922;66.22;58.48;7.74
Nikoloz Basilashvili;C;60;1919;50.00;42.37;7.63
Christian Kuhnke;C;46;1780;67.39;59.77;7.62
Pablo Carreno Busta;C;152;1924;54.61;47.12;7.48
Thiago Monteiro;C;64;1865;45.31;37.86;7.46
Simone Colombo;C;64;1813;46.88;39.42;7.46
Karel Novacek;C;294;1898;61.90;54.51;7.39
Agustin Calleri;C;204;1898;61.27;53.94;7.34
Pablo Cuevas;C;239;1899;57.32;50.06;7.26
Andrei Medvedev;C;234;1937;66.24;58.99;7.25
Nicolas Almagro;C;393;1930;65.65;58.42;7.23
Ricki Osterthun;C;92;1879;50.00;42.93;7.07
Bernd Karbacher;C;137;1912;54.01;46.94;7.07
Istvan Gulyas;C;83;1810;56.63;49.56;7.07
Thomas Muster;C;514;1905;76.26;69.30;6.96
Roberto Vizcaino;C;48;1837;41.67;34.72;6.95
Renzo Olivo;C;43;1850;46.51;39.57;6.94
Tommy Robredo;C;371;1922;66.58;59.69;6.89
Victor Hanescu;C;214;1901;52.80;45.92;6.88
Yannick Noah;C;264;1928;76.14;69.30;6.83
Markus Hipfl;C;99;1868;48.48;41.68;6.80
Tarik Benhabiles;C;97;1880;46.39;39.63;6.77
Frederic Fontang;C;68;1870;36.76;30.06;6.70
Javier Frana;C;101;1871;58.42;51.73;6.69
Gene Mayer;C;112;1912;63.39;56.72;6.67
Andrea Gaudenzi;C;268;1905;55.97;49.31;6.66
Horst Skoff;C;266;1889;60.15;53.50;6.65
Juan Balcells;C;43;1894;51.16;44.61;6.56
Franco Squillari;C;216;1899;53.24;46.73;6.51
Mario Martinez;C;137;1870;57.66;51.17;6.50
Felix Mantilla;C;341;1901;64.52;58.08;6.44
Fernando Meligeni;C;259;1888;55.98;49.55;6.44
Boro Jovanovic;C;93;1829;50.54;44.11;6.42
Horacio De La Pena;C;280;1881;55.71;49.31;6.40
Juan Albert Viloca Puig;C;89;1869;43.82;37.45;6.37
Oliver Gross;C;87;1906;44.83;38.55;6.28
Peter Mcnamara;C;162;1899;66.05;59.78;6.27
Juan Aguilera;C;232;1892;54.74;48.66;6.08
Guillermo Perez Roldan;C;333;1873;67.87;61.82;6.04
Thierry Tulasne;C;279;1900;58.06;52.03;6.03
Emilio Benfele Alvarez;C;88;1864;46.59;40.59;6.00
Younes El Aynaoui;C;223;1886;58.74;52.77;5.97
Dominique Bedel;C;103;1864;45.63;39.67;5.96
Klaus Eberhard;C;92;1831;47.83;41.88;5.95
Marc Kevin Goellner;C;158;1908;51.27;45.32;5.94
Albert Montanes;C;383;1893;53.26;47.33;5.94
Manuel Orantes;C;657;1893;78.23;72.31;5.92
