giocatore;incontri;temperatura_media;effetto_caldo;corr_temperatura;corr_umidita;corr_densita
Alexandr Dolgopolov;304;21.1;13.72;0.104;0.055;0.079
Carlos Moya;485;20.1;10.14;0.008;-0.066;0.028
Marcos Baghdatis;436;19.9;9.65;-0.002;-0.028;0.077
John Isner;570;20.4;9.22;0.030;-0.079;-0.054
Fabio Fognini;515;19.9;7.22;0.033;-0.032;0.045
Dominic Thiem;313;20.1;3.42;0.014;-0.124;0.029
Gilles Muller;316;20.7;3.27;0.037;0.040;-0.030
Kei Nishikori;444;20.0;3.13;-0.018;0.041;0.016
Novak Djokovic;868;19.5;3.11;0.022;-0.004;0.009
Fernando Verdasco;774;18.7;2.46;-0.023;-0.009;0.042
Mardy Fish;395;20.5;2.33;-0.007;0.017;-0.027
Marin Cilic;570;19.3;1.86;0.018;0.039;-0.068
Gael Monfils;544;19.5;0.65;-0.012;0.027;0.058
Kevin Anderson;455;19.8;0.07;0.008;-0.102;-0.027
David Ferrer;875;19.3;-0.19;-0.021;0.010;0.034
Grigor Dimitrov;395;19.8;-0.26;0.010;0.022;-0.024
James Blake;450;19.7;-0.48;-0.002;0.010;0.016
Ivo Karlovic;527;18.9;-2.28;-0.066;0.030;-0.015
Rafael Nadal;1011;18.9;-3.85;-0.021;-0.025;0.067
Tomas Berdych;718;19.7;-3.95;0.019;0.001;-0.031
Sam Querrey;539;19.7;-4.79;-0.079;-0.042;0.038
Roger Federer;1091;19.0;-5.27;-0.044;-0.015;0.052
Andy Murray;657;19.4;-5.46;-0.008;0.073;-0.010
Stan Wawrinka;635;19.4;-7.44;0.002;0.026;0.077
Andy Roddick;585;20.0;-7.47;-0.037;0.039;0.016
Adrian Mannarino;316;20.5;-9.58;-0.094;-0.036;-0.004
Tommy Haas;507;19.0;-14.10;-0.066;0.012;0.058
Lleyton Hewitt;620;19.0;-18.52;-0.086;0.025;0.062
