giocatore;incontri;veloci;lenti;scarto_veloci;scarto_lenti;scarto_veloci_netto;scarto_lenti_netto
Rafael Nadal;1138;435;279;-7.62;15.41;-4.04;3.40
Diego Sebastian Schwartzman;290;120;53;0.87;14.43;-0.99;6.09
Guillermo Coria;304;53;157;-20.65;13.96;-10.67;3.55
Pablo Andujar;332;102;108;-20.89;12.83;-5.63;3.26
Juan Carlos Ferrero;684;207;265;-5.53;11.34;-1.25;4.39
Pablo Carreno Busta;334;138;71;-1.00;11.20;-1.78;3.78
Potito Starace;318;47;155;-21.18;10.83;-3.50;2.00
Tommy Robredo;848;292;276;-5.74;10.74;-0.54;4.27
Juan Monaco;553;128;217;-12.46;10.50;-4.35;2.38
Federico Delbonis;270;75;68;-22.60;10.42;-10.47;2.18
Jiri Vesely;230;108;55;3.71;9.98;0.64;5.95
Lukas Rosol;254;114;50;-2.81;9.97;-0.13;6.06
Fabio Fognini;627;221;195;-5.03;9.77;-0.72;4.88
Albert Montanes;520;83;263;-11.60;9.73;2.07;3.96
Albert Costa;604;79;323;-27.46;9.64;-11.93;3.55
Richard Krajicek;590;165;191;5.14;9.55;0.90;7.50
Jose Acasuso;341;63;159;-12.73;9.35;0.12;1.44
Andrei Medvedev;495;94;240;-8.15;9.03;-2.29;2.93
Filippo Volandri;358;45;226;-17.18;8.99;0.81;1.19
Stan Wawrinka;780;372;149;-3.66;8.90;-1.92;4.71
Dusan Lajovic;261;101;50;-8.58;8.88;-3.89;4.87
Richard Gasquet;823;452;135;1.03;8.83;-0.26;3.96
David Ferrer;1043;392;304;-4.32;8.30;-0.25;3.25
Mario Ancic;309;146;47;7.15;8.12;1.00;4.78
Andrea Gaudenzi;410;44;244;-15.04;7.78;-5.08;2.47
Victor Hanescu;393;111;146;-1.97;7.68;5.00;0.90
Mariano Zabaleta;392;57;193;-6.83;7.30;2.86;0.02
Carlos Moya;838;175;387;-5.58;7.27;-0.25;3.15
Nicolas Almagro;633;162;250;-8.94;7.25;-1.18;0.41
Dominic Thiem;421;210;59;-1.07;7.01;-1.25;-7.18
Felix Mantilla;505;67;270;-20.36;6.96;-3.66;1.06
Albert Ramos;447;154;126;-7.78;6.74;-1.32;2.97
Christophe Rochus;308;81;127;-9.97;6.39;-2.13;3.31
Jurgen Melzer;613;238;143;-1.71;6.36;-1.72;3.67
Aljaz Bedene;231;108;63;0.33;6.14;-0.82;2.40
Santiago Giraldo;317;127;58;-7.72;6.12;-4.59;4.47
Alberto Martin;468;64;252;-21.47;6.02;-10.79;1.06
Carlos Berlocq;298;69;121;-15.91;5.82;-6.23;2.47
Slava Dosedel;359;40;217;-5.93;5.75;6.31;1.77
Marcelo Rios;515;105;178;3.50;5.71;1.15;1.74
Marc Kevin Goellner;332;54;152;-10.52;5.70;-3.06;1.46
Agustin Calleri;366;72;154;-9.61;5.64;-1.97;-1.23
Fernando Gonzalez;508;151;151;-5.08;5.64;-2.83;1.42
Julien Boutter;143;52;56;3.98;5.56;4.53;-1.44
Paolo Lorenzi;278;105;61;-5.77;5.55;-2.23;6.48
Sergi Bruguera;553;85;322;-15.43;5.47;-5.05;0.28
Martin Klizan;254;115;62;-3.60;5.43;-0.58;0.39
Lionel Roux;188;49;48;4.53;5.34;4.50;6.24
Malivai Washington;376;56;175;4.99;5.25;2.66;4.26
Magnus Norman;379;90;150;-2.38;5.20;-2.83;1.35
Jason Stoltenberg;439;60;153;-11.13;5.19;-7.25;3.29
Marcel Granollers;423;153;121;-4.23;5.00;-2.43;4.27
Juan Martin Del Potro;567;287;53;-0.88;4.94;-4.43;-0.45
Andreas Seppi;719;352;157;0.17;4.83;1.35;3.80
Jim Courier;555;84;231;-11.83;4.71;-10.35;1.64
Luis Horna;236;40;117;-3.70;4.67;9.07;-0.49
Alex Corretja;670;96;345;-19.77;4.63;-6.51;0.21
