giocatore;incontri;veloci;lenti;scarto_veloci;scarto_lenti;scarto_veloci_netto;scarto_lenti_netto
Robin Soderling;440;228;70;12.72;-5.29;5.90;-5.36
David Prinosil;369;137;85;11.81;-6.49;2.37;4.35
Nicolas Escude;265;114;43;11.12;-11.17;4.20;-0.84
Nicklas Kulti;276;58;124;9.95;-4.33;6.09;-1.74
Jonathan Stark;279;55;80;7.91;-4.26;-0.47;0.24
Greg Rusedski;670;249;115;7.90;-15.17;0.63;-1.89
Michael Llodra;372;198;43;7.89;-10.24;2.06;-2.82
Hendrik Dreekmann;207;59;55;7.82;-10.79;6.61;-7.83
Marc Rosset;633;199;203;7.63;-6.06;2.97;-5.91
Magnus Larsson;458;113;192;7.54;-3.42;4.03;-4.17
Roberto Bautista Agut;452;243;56;7.21;-1.52;2.15;-1.89
Mario Ancic;309;146;47;7.15;8.12;1.00;4.78
Goran Ivanisevic;712;227;225;7.11;-7.96;1.99;-4.26
Andrei Olhovskiy;229;55;90;6.97;-12.30;0.40;-1.27
Max Mirnyi;427;183;90;6.91;-4.81;6.46;1.40
Olivier Delaitre;246;53;120;6.67;-0.75;0.29;2.75
Nicolas Kiefer;568;203;108;6.39;-1.86;-1.43;2.01
Martin Damm;354;111;82;6.39;-6.44;0.68;0.99
Jan Michael Gambill;371;130;54;6.30;-15.84;1.65;3.43
Kei Nishikori;550;314;61;6.02;3.19;1.85;0.80
Yevgeny Kafelnikov;820;313;202;5.85;-4.72;1.56;1.45
Thomas Enqvist;681;240;147;5.72;-5.95;2.69;0.30
Dmitry Tursunov;417;215;54;5.66;-13.97;1.56;-2.27
Boris Becker;423;128;137;5.51;-14.29;-1.82;-6.83
Jerome Golmard;258;67;69;5.34;1.43;-0.78;4.22
Mardy Fish;477;225;60;5.21;-4.09;-1.17;5.56
Andy Murray;823;486;74;5.19;-10.54;1.39;-4.99
Daniel Vacek;374;122;94;5.17;-6.65;3.95;-1.55
Richard Krajicek;590;165;191;5.14;9.55;0.90;7.50
Raemon Sluiter;193;74;48;5.01;-12.20;2.45;-5.06
Malivai Washington;376;56;175;4.99;5.25;2.66;4.26
Paradorn Srichaphan;388;172;53;4.81;-20.74;-0.37;4.90
Ivo Karlovic;667;365;86;4.80;0.00;1.15;6.45
Stefan Koubek;420;116;136;4.77;3.39;5.05;0.72
Lionel Roux;188;49;48;4.53;5.34;4.50;6.24
Jacco Eltingh;254;45;124;4.36;-1.70;3.07;-0.12
Feliciano Lopez;897;466;121;4.35;-7.14;1.83;-3.82
David Nalbandian;527;211;147;4.33;1.98;1.91;0.37
Chris Woodruff;209;62;44;4.32;-2.46;-0.72;0.23
Antony Dupuis;208;69;60;4.28;-4.10;2.23;-0.24
Brett Steven;280;51;85;4.19;-0.52;2.32;1.66
Jo Wilfried Tsonga;631;392;47;4.01;-3.68;0.08;-1.47
Julien Boutter;143;52;56;3.98;5.56;4.53;-1.44
Gianluca Pozzi;376;88;112;3.90;-6.12;2.11;1.89
Mark Philippoussis;464;158;71;3.89;-10.90;-0.21;-3.05
Byron Black;454;115;98;3.80;-7.91;0.50;-1.94
Milos Raonic;502;328;44;3.72;2.83;-0.62;3.58
