giocatore;superficie;n_esordi;scarto_transizione;scarto_a_regime;costo_adattamento
Benoit Paire;H;11;41.93;-4.44;-46.37
Grigor Dimitrov;H;11;42.83;1.86;-40.97
Bob Carmichael;P;11;26.43;-13.67;-40.11
Michael Berrer;H;11;38.58;-0.56;-39.14
Mike Estep;G;13;39.79;3.44;-36.35
Tim Gullikson;C;11;19.49;-16.52;-36.01
Aljaz Bedene;H;10;33.53;-2.21;-35.75
Colin Dowdeswell;H;11;38.21;2.76;-35.45
Damir Keretic;C;11;34.92;-0.17;-35.09
Robert Vant Hof;H;10;37.26;2.88;-34.38
Eric Deblicker;C;11;31.89;-2.40;-34.28
Pablo Cuevas;H;13;21.96;-12.02;-33.98
Karol Kucera;H;12;33.40;-0.42;-33.82
Jun Kamiwazumi;C;10;33.97;0.40;-33.57
Peter Lundgren;H;11;37.42;4.53;-32.90
Daniel Brands;H;10;29.63;-2.77;-32.40
Kevin Curren;G;14;32.19;1.24;-30.95
Harald Elschenbroich;C;13;31.47;1.13;-30.34
Butch Walts;P;10;35.05;4.79;-30.25
Karol Kucera;P;11;33.23;3.44;-29.79
Javier Soler;C;11;27.17;-2.36;-29.53
Corrado Barazzutti;C;15;29.79;0.63;-29.16
Buster C Mottram;C;11;29.26;0.36;-28.90
Paul Annacone;G;10;30.60;1.82;-28.78
Tom Gorman;P;12;30.02;1.51;-28.51
Jan Siemerink;G;11;20.12;-8.22;-28.34
Tomas Smid;C;14;28.15;0.55;-27.60
Andrei Medvedev;P;11;20.13;-6.95;-27.09
Tom Leonard;H;13;31.13;4.04;-27.08
David Prinosil;H;11;19.11;-7.68;-26.80
Dudi Sela;H;13;26.41;-0.24;-26.66
Tomas Carbonell;C;14;29.99;3.43;-26.57
Christian Bergstrom;H;11;28.13;1.71;-26.42
Ray Ruffels;C;10;20.10;-6.23;-26.33
Younes El Aynaoui;H;15;25.33;-0.93;-26.26
Karim Alami;H;10;15.53;-10.73;-26.26
Ricardas Berankis;H;11;28.85;2.77;-26.08
Anders Jarryd;C;17;16.52;-9.55;-26.07
Sergi Bruguera;P;10;10.61;-15.34;-25.95
Mischa Zverev;G;12;30.94;5.24;-25.71
Balazs Taroczy;H;12;12.88;-12.81;-25.68
Wally Masur;P;13;24.46;-1.07;-25.53
Albert Ramos;C;11;28.76;3.23;-25.53
Tom Gullikson;G;11;25.44;-0.06;-25.49
Juan Martin Del Potro;G;10;21.71;-3.72;-25.42
Jiri Hrebec;C;13;26.54;1.16;-25.38
Mikhail Kukushkin;C;12;8.14;-16.63;-24.76
Tarik Benhabiles;C;11;28.15;4.03;-24.12
Nick Saviano;G;10;24.05;0.00;-24.05
Massimo Cierro;C;11;15.34;-8.64;-23.98
Christian Miniussi;C;12;23.53;-0.10;-23.63
Derrick Rostagno;G;13;30.70;7.13;-23.57
Francois Jauffret;C;14;25.39;1.96;-23.42
Simon Youl;G;13;18.67;-4.47;-23.13
Cliff Richey;H;11;23.46;0.77;-22.69
Dick Crealy;G;13;20.06;-2.60;-22.66
Brett Steven;H;14;19.29;-3.16;-22.44
Marty Davis;H;10;23.89;1.55;-22.34
Jose Acasuso;C;11;29.37;7.04;-22.33
Russell Simpson;H;15;18.61;-3.43;-22.04
Nikola Pilic;P;12;18.03;-3.95;-21.98
Jiri Novak;P;12;13.82;-8.15;-21.98
Bernard Mitton;H;13;22.18;0.21;-21.97
Peter Feigl;C;10;23.54;1.65;-21.90
Jun Kuki;C;15;20.85;-1.01;-21.86
Dick Stockton;P;13;25.48;3.89;-21.59
Pat Cash;P;12;19.86;-1.72;-21.57
Richard Gasquet;H;19;20.95;-0.47;-21.42
Dick Crealy;H;12;19.10;-2.31;-21.40
Byron Black;G;11;26.93;5.66;-21.26
Cliff Drysdale;P;15;22.91;1.72;-21.19
Victor Amaya;G;10;23.05;1.89;-21.16
Nicolas Mahut;G;16;33.62;12.49;-21.12
Sebastien Grosjean;G;10;27.46;6.40;-21.06
Thierry Tulasne;C;13;25.94;5.06;-20.89
Nicklas Kulti;H;12;17.68;-2.88;-20.56
Wayne Black;H;11;18.04;-2.27;-20.31
Dick Stockton;H;16;11.91;-8.39;-20.30
Stanislav Birner;C;10;15.42;-4.87;-20.29
John Millman;H;10;23.76;3.59;-20.17
Philipp Kohlschreiber;C;19;20.08;-0.01;-20.09
Tommy Haas;G;16;24.63;4.55;-20.07
Alvaro Fillol;C;10;9.22;-10.82;-20.05
Christo Van Rensburg;G;11;27.54;7.51;-20.03
Chris Guccione;H;12;22.90;2.87;-20.03
Patrik Kuhnen;H;10;16.78;-3.24;-20.02
Jean Rene Lisnard;C;12;13.23;-6.72;-19.95
Alex Metreveli;C;11;14.40;-5.46;-19.86
Tim Gullikson;P;12;17.02;-2.79;-19.81
Scott Davis;H;13;21.83;2.16;-19.67
Brian Fairlie;G;10;22.75;3.10;-19.65
Bohdan Ulihrach;P;10;9.53;-10.11;-19.64
Cassio Motta;C;15;18.56;-1.09;-19.64
Jose Higueras;H;13;7.23;-12.39;-19.62
Nikola Pilic;G;13;23.35;3.96;-19.39
Stanislav Birner;H;10;15.17;-4.18;-19.34
Jeff Tarango;P;13;17.02;-2.32;-19.34
Brian Teacher;C;14;12.44;-6.83;-19.27
Tim Henman;H;15;20.08;0.88;-19.20
Jason Stoltenberg;H;15;18.50;-0.65;-19.16
