giocatore;superficie;n_esordi;scarto_transizione;scarto_a_regime;costo_adattamento
Alexandr Dolgopolov;C;11;-34.87;5.24;40.10
Bernard Mitton;P;10;-31.50;5.54;37.04
Rainer Schuettler;C;14;-46.51;-9.50;37.01
Roland Stadler;C;12;-29.59;6.68;36.27
Heinz Gunthardt;C;11;-34.39;1.81;36.20
Federico Delbonis;H;10;-43.97;-8.59;35.38
Juan Carlos Ferrero;H;14;-38.49;-3.69;34.79
Patrick McEnroe;P;13;-26.49;8.09;34.59
Fabio Fognini;C;16;-27.43;7.15;34.58
Andrei Olhovskiy;P;11;-23.59;10.97;34.56
Frew Mcmillan;C;12;-36.49;-1.94;34.55
Mark Philippoussis;G;11;-17.16;17.24;34.40
Colin Dibley;C;12;-36.49;-3.20;33.29
Juan Aguilera;C;11;-24.82;7.62;32.44
Nikolay Davydenko;C;15;-27.56;4.88;32.44
Pierre Barthes;C;10;-34.57;-2.59;31.97
Manuel Orantes;H;17;-38.61;-6.85;31.76
Marcos Baghdatis;C;14;-47.09;-15.80;31.29
Yevgeny Kafelnikov;C;12;-37.29;-6.18;31.11
Pablo Andujar;C;13;-18.40;12.08;30.48
Andrew Pattison;G;12;-25.78;4.50;30.27
Kevin Anderson;C;12;-30.70;-0.74;29.95
Tomas Carbonell;H;11;-31.52;-1.92;29.60
Gilles Simon;H;17;-25.67;3.54;29.21
Todd Nelson;H;11;-28.09;1.11;29.20
Anders Jarryd;G;16;-30.98;-1.92;29.06
Paul Henri Mathieu;C;17;-25.21;3.42;28.62
Bernd Karbacher;C;10;-19.29;9.15;28.44
Greg Rusedski;C;13;-48.23;-19.80;28.43
Ramon Delgado;H;12;-27.12;0.87;27.99
Marcelo Rios;C;10;-23.15;4.80;27.94
Ken Rosewall;C;10;-25.03;2.80;27.83
Gary Muller;H;11;-25.00;2.81;27.82
Nicolas Massu;C;17;-24.91;2.78;27.69
Juan Monaco;C;14;-17.66;9.54;27.20
Adrian Mannarino;C;13;-38.36;-11.25;27.11
Pat Cash;H;15;-29.34;-2.59;26.76
Patricio Rodriguez Chi;C;10;-25.42;1.11;26.52
Diego Nargiso;C;14;-28.69;-2.29;26.40
Olivier Delaitre;H;11;-20.48;5.85;26.33
Peter Doohan;G;10;-10.26;15.76;26.02
Jack Sock;H;11;-21.31;4.65;25.95
John Sadri;G;10;-24.27;1.60;25.86
Steve Krulevitz;C;14;-25.10;0.71;25.81
Jan Kodes;H;13;-28.84;-3.14;25.70
Marty Riessen;H;14;-24.59;1.08;25.67
Heinz Gunthardt;H;12;-19.41;5.87;25.27
Wayne Ferreira;H;15;-21.52;3.74;25.26
Luis Horna;C;11;-18.01;7.10;25.11
Joao Soares;C;11;-25.64;-0.56;25.08
Pablo Andujar;H;13;-37.53;-12.52;25.01
Goran Ivanisevic;C;15;-26.68;-1.77;24.91
Albert Costa;C;14;-16.12;8.67;24.79
Andy Murray;G;13;-13.92;10.70;24.61
Ivan Lendl;G;14;-33.10;-8.64;24.46
Roger Taylor;G;16;-19.65;4.80;24.44
Aaron Krickstein;C;13;-24.39;-0.20;24.19
Vijay Amritraj;G;19;-13.53;10.31;23.84
Dmitry Tursunov;G;13;-11.12;12.58;23.70
Peter Mcnamara;G;12;-23.39;0.06;23.45
Jason Stoltenberg;C;13;-16.68;6.71;23.38
Henri Leconte;C;17;-20.28;3.10;23.38
Kenneth Carlsen;G;13;-18.81;4.49;23.30
Carl Uwe Steeb;C;11;-21.33;1.79;23.12
Mariano Zabaleta;H;11;-27.98;-5.02;22.96
Leonardo Lavalle;H;12;-20.17;2.71;22.88
Alex Corretja;H;13;-25.60;-2.85;22.75
Victor Amaya;P;10;-14.59;7.93;22.52
Peter Fleming;P;15;-13.51;8.95;22.46
John Austin;H;11;-7.59;14.84;22.43
Fabrice Santoro;C;21;-21.72;0.37;22.09
Kevin Anderson;H;14;-17.79;4.22;22.01
Wayne Arthurs;G;10;-10.34;11.64;21.98
Tom Okker;C;14;-20.35;1.60;21.95
Juan Monaco;H;14;-26.52;-4.70;21.83
Cliff Drysdale;G;11;-20.50;1.17;21.67
Arnaud Clement;H;17;-18.90;2.69;21.59
Marty Riessen;G;13;-16.16;5.27;21.43
Sherwood Stewart;C;14;-27.92;-6.55;21.37
Sergi Bruguera;C;15;-12.16;8.69;20.84
Angel Gimenez;C;10;-15.63;5.09;20.72
Han Jurgen Pohmann;C;12;-14.45;6.15;20.59
Gustavo Kuerten;C;14;-13.84;6.68;20.52
Guy Forget;H;16;-16.22;4.30;20.52
Raul Ramirez;G;11;-17.72;2.79;20.51
Frank Dancevic;H;17;-14.69;5.62;20.31
Guillermo Vilas;G;13;-26.04;-5.73;20.31
Thomas Enqvist;C;17;-31.04;-10.84;20.20
Denis Istomin;C;11;-29.15;-9.04;20.11
Nicolas Lapentti;C;16;-17.02;3.05;20.07
Rogerio Dutra Silva;C;11;-20.29;-0.23;20.06
Manuel Orantes;P;13;-28.36;-8.36;20.00
Jose Acasuso;H;10;-28.18;-8.19;20.00
Nikola Pilic;C;11;-22.29;-2.35;19.93
Xavier Malisse;C;14;-16.17;3.63;19.79
Mark Cox;C;14;-20.78;-1.07;19.71
Ramiro Benavides;C;13;-16.47;2.96;19.44
Claudio Mezzadri;C;11;-12.87;6.24;19.12
Chris Lewis Nzl;G;12;-13.10;5.98;19.08
Sam Querrey;H;16;-16.00;2.99;18.99
