giocatore;incontri;vittorie_grezze;scarto_grezzo;scarto_neutro
Stefanos Tsitsipas;38;64.22;18.83;8.36
Fabio Fognini;64;57.76;11.67;8.03
Jeremy Chardy;41;48.80;8.75;6.88
Alexander Zverev;63;72.78;14.47;6.24
Kei Nishikori;58;72.64;7.79;5.65
John Isner;36;58.01;-1.60;5.21
Tomas Berdych;62;64.65;2.27;4.72
Albert Ramos;44;42.79;6.71;3.97
Roberto Bautista Agut;55;60.42;4.95;3.94
Lucas Pouille;32;54.22;7.29;3.91
Benoit Paire;38;47.15;7.19;3.65
Fernando Verdasco;48;52.26;5.73;3.11
Philipp Kohlschreiber;45;55.51;4.34;3.05
Joao Sousa;31;39.24;1.23;2.69
Guillermo Garcia Lopez;25;39.68;5.13;2.48
Alexandr Dolgopolov;26;46.15;3.83;2.33
Diego Sebastian Schwartzman;41;55.98;9.19;1.79
Dominic Thiem;62;64.35;11.60;1.76
Marcel Granollers;28;39.01;2.28;1.51
David Goffin;52;57.79;1.22;1.47
Borna Coric;36;56.61;4.27;1.21
Grigor Dimitrov;58;58.84;-1.01;1.15
Viktor Troicki;26;42.42;-1.40;1.15
Pablo Cuevas;29;51.70;5.93;1.03
Jo Wilfried Tsonga;43;60.37;-3.13;-0.76
Andreas Seppi;35;40.56;-0.34;-0.86
Milos Raonic;56;64.34;-0.61;-1.11
Gilles Simon;48;53.91;-1.50;-1.18
Pablo Carreno Busta;34;47.43;3.73;-2.38
David Ferrer;46;63.04;3.06;-2.39
Andy Murray;42;68.72;-9.32;-2.80
Novak Djokovic;118;82.28;-3.42;-4.48
Marin Cilic;56;57.19;-8.24;-4.91
Rafael Nadal;123;84.48;4.34;-5.07
Stan Wawrinka;62;60.90;-1.83;-5.85
Robin Haase;25;32.03;-4.88;-6.54
Kevin Anderson;36;47.57;-9.23;-6.57
Roger Federer;61;71.92;-9.45;-6.74
Richard Gasquet;39;56.35;-3.32;-7.96
Gael Monfils;41;53.37;-10.74;-11.06
Nicolas Almagro;26;50.00;-3.99;-11.22
Feliciano Lopez;30;33.11;-16.72;-13.51
Karen Khachanov;25;48.46;-8.98;-14.20
Juan Martin Del Potro;26;65.65;-9.10;-14.68
