giocatore;incontri;vittorie_grezze;scarto_grezzo;scarto_neutro
Federico Delbonis;30;43.79;6.05;19.07
Leonardo Mayer;30;56.86;11.57;18.64
Albert Ramos;46;50.21;9.34;17.69
Denis Shapovalov;39;64.50;24.33;17.21
Jared Donaldson;26;53.85;19.41;15.07
Pablo Andujar;28;35.92;-1.75;13.46
Tommy Haas;27;62.96;15.99;13.06
Filip Krajinovic;27;55.80;20.81;11.95
Adrian Mannarino;64;51.55;11.84;11.43
Robin Haase;45;51.32;9.55;11.32
Tommy Robredo;30;56.67;8.62;10.70
Frances Tiafoe;29;48.99;13.49;8.43
Jeremy Chardy;66;50.15;7.09;7.89
Alexandr Dolgopolov;47;53.19;9.45;6.52
Lukas Rosol;27;37.04;3.60;6.34
Thomaz Bellucci;25;40.00;-0.17;6.28
Jan Lennard Struff;32;52.80;8.79;6.09
Julien Benneteau;44;52.27;9.66;5.87
Karen Khachanov;41;58.25;6.09;5.29
John Isner;114;63.04;10.23;4.53
Milos Raonic;117;69.97;9.08;3.42
Fernando Verdasco;56;50.00;1.33;3.34
Jack Sock;63;55.56;6.54;3.30
Rafael Nadal;102;81.37;-0.47;3.02
Dusan Lajovic;30;37.25;-0.52;3.01
Joao Sousa;45;40.35;3.03;2.74
Yen Hsun Lu;29;41.38;2.92;2.63
Pablo Cuevas;26;38.17;-6.19;2.38
Grigor Dimitrov;93;60.17;5.57;2.38
David Goffin;78;56.49;3.26;2.12
Juan Monaco;32;46.88;-4.44;1.83
Borna Coric;55;54.84;5.97;1.66
Richard Gasquet;74;56.76;1.85;1.49
Jerzy Janowicz;29;48.28;3.53;1.15
Kevin Anderson;84;57.24;4.40;1.00
Gael Monfils;55;67.27;5.32;0.44
Janko Tipsarevic;26;50.00;2.57;-0.30
Mikhail Youzhny;39;41.03;1.61;-0.43
Roger Federer;129;80.61;2.35;-0.56
Bernard Tomic;41;51.21;4.77;-0.61
Fabio Fognini;57;45.64;-6.77;-0.86
Feliciano Lopez;63;46.06;-2.30;-0.96
Nicolas Almagro;25;48.00;-10.04;-1.17
David Ferrer;83;57.89;-4.75;-2.08
Santiago Giraldo;25;36.00;-5.90;-2.43
Pablo Carreno Busta;47;48.94;0.60;-2.49
Stan Wawrinka;97;59.67;-1.19;-2.96
Novak Djokovic;172;86.52;-0.49;-3.35
Daniil Medvedev;38;65.80;9.47;-4.01
Marcos Baghdatis;27;48.15;-0.45;-4.38
Nick Kyrgios;47;61.76;3.76;-4.51
Dominic Thiem;66;52.69;-2.39;-4.78
Philipp Kohlschreiber;42;42.86;-5.33;-4.83
Andreas Seppi;40;42.50;-6.53;-4.84
Marcel Granollers;32;34.38;-7.61;-5.18
Donald Young;34;38.24;-3.70;-5.43
Ryan Harrison;35;40.00;-1.58;-5.65
Sam Querrey;64;48.29;-3.39;-5.67
Alexander Zverev;60;58.50;-0.51;-5.82
Roberto Bautista Agut;64;53.40;-1.32;-5.89
Ivo Karlovic;42;42.65;-5.71;-6.13
Tomas Berdych;95;58.95;-6.40;-6.53
Pierre Hugues Herbert;26;30.53;-5.53;-7.12
Kei Nishikori;98;59.92;-2.74;-7.26
Lucas Pouille;32;40.37;-5.43;-7.41
Ernests Gulbis;33;45.18;-8.31;-7.52
Marin Cilic;93;51.39;-7.89;-7.99
Denis Istomin;31;38.71;-6.86;-7.99
Vasek Pospisil;40;35.00;-1.90;-8.13
Benoit Paire;48;35.27;-10.56;-8.17
Andy Murray;99;70.71;-6.16;-8.58
Jo Wilfried Tsonga;64;54.69;-5.64;-8.65
Steve Johnson;38;36.65;-6.62;-8.65
Diego Sebastian Schwartzman;39;45.92;-3.93;-9.17
Juan Martin Del Potro;68;64.71;-5.99;-9.86
Gilles Simon;62;48.23;-8.21;-10.72
Nicolas Mahut;30;36.67;-13.39;-11.45
Gilles Muller;27;37.04;-11.84;-13.05
Kyle Edmund;31;36.08;-8.94;-14.44
Viktor Troicki;35;31.43;-15.01;-15.92
