giocatore;incontri;vittorie_grezze;scarto_grezzo;scarto_neutro
Andrey Rublev;25;68.42;21.55;13.34
Stan Wawrinka;65;81.21;14.26;12.35
Paolo Lorenzi;25;39.68;10.24;10.03
Diego Sebastian Schwartzman;31;65.45;15.59;9.67
Pablo Carreno Busta;36;67.02;12.54;8.75
Tomas Berdych;56;76.84;7.92;7.79
Philipp Kohlschreiber;37;58.82;7.20;7.64
Marin Cilic;51;74.43;7.22;7.22
Andreas Seppi;38;55.38;5.46;7.07
Bernard Tomic;28;64.29;12.41;7.03
Dominic Thiem;44;75.11;10.51;6.57
Rafael Nadal;68;90.03;4.85;6.49
Kevin Anderson;45;68.56;9.08;6.29
Feliciano Lopez;40;56.93;1.48;2.88
Joao Sousa;27;44.20;3.03;2.84
Kei Nishikori;53;73.41;6.98;2.59
Mikhail Kukushkin;29;47.97;4.35;2.33
Gilles Simon;37;62.03;4.49;2.08
Adrian Mannarino;28;46.53;1.65;2.00
David Ferrer;48;72.61;-2.54;0.13
Gael Monfils;44;72.20;4.51;-0.22
Jeremy Chardy;35;50.85;-1.08;-0.40
Richard Gasquet;44;63.39;0.06;-0.43
Nick Kyrgios;30;63.64;7.82;-0.45
Novak Djokovic;89;90.79;1.99;-0.64
Benoit Paire;28;46.15;-2.59;-0.81
Grigor Dimitrov;51;66.92;1.33;-1.45
Fernando Verdasco;29;48.30;-4.09;-2.08
David Goffin;38;62.69;-1.01;-2.10
Roberto Bautista Agut;41;60.77;0.96;-3.19
Andy Murray;66;80.06;-1.48;-3.72
Milos Raonic;50;71.71;1.89;-3.77
Roger Federer;74;84.04;-1.23;-4.14
Jack Sock;25;51.56;-1.40;-4.36
Juan Martin Del Potro;36;74.86;-0.51;-4.38
Jo Wilfried Tsonga;43;74.31;-2.02;-5.02
Steve Johnson;26;41.67;-3.08;-5.07
Ivo Karlovic;26;50.38;-6.48;-6.90
Fabio Fognini;30;47.10;-13.06;-7.60
Alexander Zverev;30;66.88;-4.47;-10.56
John Isner;42;63.85;-6.26;-11.11
Sam Querrey;32;49.69;-10.68;-12.33
