giocatore;superficie;incontri;elo_medio_avversari;vittorie_grezze;vittorie_attese;specializzazione
Rafael Nadal;C;459;2025;91.29;79.28;12.01
Roger Federer;P;58;1975;72.41;64.21;8.20
Roger Federer;G;210;1998;87.14;83.72;3.42
Novak Djokovic;G;110;2010;85.45;82.38;3.07
Roger Federer;H;898;2033;82.85;79.94;2.91
Novak Djokovic;H;667;2057;84.26;81.40;2.86
Novak Djokovic;C;257;2036;81.71;81.27;0.44
Rafael Nadal;H;584;2028;78.25;81.74;-3.49
Roger Federer;C;273;2008;75.82;81.83;-6.01
Rafael Nadal;G;89;1984;78.65;86.38;-7.73
